listing_year,horizon,n,median,ci_low,ci_high
2018,relative_cagr_6mo,22.0,-59.19238679976082,-83.60219777360636,-37.934409652218406
2019,relative_cagr_6mo,16.0,-42.52647489435879,-54.32496205208843,14.925249209219004
2020,relative_cagr_6mo,15.0,8.957882851167405,-125.17211062477304,59.65232625165413
2021,relative_cagr_6mo,63.0,-36.45900818049422,-50.03270030815808,-23.322643571994817
2022,relative_cagr_6mo,38.0,13.685909416216589,-27.930995638045957,42.74984810937046
2023,relative_cagr_6mo,57.0,-9.129747351745074,-25.535079421558315,22.72219321646565
2024,relative_cagr_6mo,81.0,-20.150234722242423,-35.72406465075247,-0.5225893327102646
2025,relative_cagr_6mo,105.0,-21.80479941871488,-29.26175388840544,-11.579055420671525
2018,relative_cagr_1yr,22.0,-40.43455014384831,-58.59535067995475,-14.015399517414185
2019,relative_cagr_1yr,16.0,-23.97660810453834,-53.13846176656797,3.7004705229074055
2020,relative_cagr_1yr,15.0,-9.33085173101236,-92.51561823744925,44.537932220519
2021,relative_cagr_1yr,63.0,-33.78884033822608,-43.6082397724751,-25.525550879886925
2022,relative_cagr_1yr,38.0,9.117296799816522,-9.058455493052389,36.50996579551919
2023,relative_cagr_1yr,57.0,-6.105273494026761,-26.12776327582501,13.098568800531638
2024,relative_cagr_1yr,81.0,-14.81764269207999,-21.330254504437008,-6.714828027786978
2018,relative_cagr_2yr,22.0,-25.55039012528296,-37.91468661919416,-5.60343741149345
2019,relative_cagr_2yr,16.0,-13.1313649627549,-33.64452589527653,35.81840216219065
2020,relative_cagr_2yr,15.0,-12.9476786113919,-24.04019297109687,-1.7123833531037285
2021,relative_cagr_2yr,63.0,-19.855442899596465,-26.902310012242445,-9.28089604883111
2022,relative_cagr_2yr,38.0,-0.7404614761748922,-11.08638708601195,10.34908917580903
2023,relative_cagr_2yr,57.0,-13.840425775396117,-26.38755994348767,-0.410442512785659
2018,relative_cagr_3yr,22.0,-26.403302682377156,-32.548372004955276,-3.168504591953181
2019,relative_cagr_3yr,16.0,-11.288831700912262,-28.99374676487999,16.591543908104754
2020,relative_cagr_3yr,15.0,-10.96577892853958,-19.74420086050643,15.44269844869985
2021,relative_cagr_3yr,63.0,-13.30569164136619,-19.22354412000488,-0.7384322937123535
2022,relative_cagr_3yr,38.0,-10.126663528837799,-16.873520174822886,6.128888650542519
