company_name,nse_symbol,listing_date,issue_price,listing_price,issue_size_crores,QIB,HNI,RII,Total,pop_pct
Gujarat Kidney & S...,GKSL,2025-12-30,114,120.75,250.8,1.06,5.73,19.04,5.21,5.921052631578947
KSH International ...,KSHINTL,2025-12-23,384,370.0,644.45,1.06,0.42,0.86,0.83,-3.6458333333333335
ICICI Prudential A...,ICICIAMC,2025-12-19,2165,2606.2,10602.7,123.87,22.04,2.53,39.17,20.37875288683602
Nephrocare Health ...,NEPHROPLUS,2025-12-17,460,491.7,871.05,27.47,24.27,2.31,13.96,6.891304347826084
Park Medi World Lt...,PARKHOSPS,2025-12-17,162,155.6,920.0,11.48,15.15,3.16,8.1,-3.9506172839506206
Wakefit Innovation...,WAKEFIT,2025-12-15,195,195.0,1288.89,3.04,1.05,3.17,2.52,0.0
Corona Remedies Lt...,CORONA,2025-12-15,1062,1452.0,655.37,278.52,208.88,28.73,137.04,36.72316384180791
Aequs Ltd,AEQUS,2025-12-10,124,140.0,922.01,120.92,80.62,78.05,101.63,12.903225806451612
Meesho Ltd,MEESHO,2025-12-10,111,161.2,5421.2,120.18,38.15,19.04,79.02,45.225225225225216
Vidya Wires Ltd,VIDYAWIRES,2025-12-10,52,52.13,300.01,5.12,51.98,27.86,26.59,0.2500000000000049
Sudeep Pharma Ltd,SUDEEPPHRM,2025-11-28,593,733.95,895.0,213.08,116.72,15.65,93.72,23.768971332209112
Excelsoft Technolo...,EXCELSOFT,2025-11-26,120,135.0,500.0,47.55,101.69,15.62,43.19,12.5
Capillary Technolo...,CAPILLARY,2025-11-21,577,560.0,877.5,57.27,69.84,15.82,52.95,-2.946273830155979
Fujiyama Power Sys...,UTLSOLAR,2025-11-20,228,218.4,828.0,5.15,0.88,1.0,2.14,-4.210526315789472
Tenneco Clean Air ...,TENNIND,2025-11-19,397,498.0,3600.0,166.42,40.74,5.11,58.83,25.440806045340054
Physicswallah Ltd,PWL,2025-11-18,109,143.1,3480.0,2.7,0.48,1.06,1.81,31.284403669724764
Emmvee Photovoltai...,EMMVEE,2025-11-18,217,217.0,2900.0,1.26,0.3,1.1,0.97,0.0
Pine Labs Ltd,PINELABS,2025-11-14,221,242.0,3899.91,4.0,0.29,1.2,2.46,9.502262443438914
Billionbrains Gara...,GROWW,2025-11-12,100,114.0,6632.3,22.02,14.2,9.43,17.6,14.000000000000002
Lenskart Solutions...,LENSKART,2025-11-10,402,390.0,7278.02,40.35,18.23,7.54,28.26,-2.9850746268656714
Studds Accessories...,STUDDS,2025-11-07,585,570.0,455.49,159.99,76.99,22.09,73.25,-2.564102564102564
Orkla India Ltd,ORKLAINDIA,2025-11-06,730,751.5,1667.54,117.63,54.42,7.05,48.73,2.945205479452055
Midwest Ltd,MIDWESTLTD,2025-10-24,1065,1165.1,451.0,139.87,168.07,24.26,87.89,9.399061032863841
Canara HSBC Life I...,CANHLIFE,2025-10-17,106,106.0,2517.5,7.05,0.33,0.42,2.29,0.0
Canara Robeco Asse...,CRAMC,2025-10-16,266,280.25,1326.13,25.92,6.45,1.91,9.74,5.357142857142857
Rubicon Research L...,RUBICON,2025-10-16,485,620.1,1377.5,130.26,97.61,35.47,103.9,27.855670103092788
LG Electronics Ind...,LGEINDIA,2025-10-14,1140,1715.0,11607.0,166.51,22.44,3.54,54.02,50.43859649122807
Tata Capital Ltd,TATACAP,2025-10-13,326,330.0,15511.9,3.42,1.98,1.1,1.95,1.2269938650306749
Wework India Manag...,WEWORK,2025-10-10,648,650.0,3000.0,1.79,0.23,0.61,1.15,0.30864197530864196
Advance Agrolife L...,ADVANCE,2025-10-08,100,113.0,192.86,27.31,175.3,23.06,56.85,13.0
Fabtech Technologi...,FABTECH,2025-10-07,191,191.0,230.35,2.02,1.97,2.08,2.03,0.0
Glottis Ltd,GLOTTIS,2025-10-07,129,88.0,307.0,1.87,2.97,1.42,2.05,-31.782945736434108
Om Freight Forward...,OMFREIGHT,2025-10-08,135,82.5,122.31,3.97,7.39,2.75,3.87,-38.88888888888889
Pace Digitek Ltd,PACEDIGITK,2025-10-06,219,226.85,819.35,1.6,2.9,1.03,1.59,3.584474885844746
Jinkushal Industri...,JKIPL,2025-10-03,121,125.0,116.15,35.66,146.39,47.1,65.1,3.3057851239669422
TruAlt Bioenergy L...,TRUALT,2025-10-03,496,550.0,839.28,159.22,98.56,11.0,71.92,10.887096774193548
Jain Resource Recy...,JAINREC,2025-10-01,232,265.25,1250.0,25.29,5.3,3.62,15.9,14.331896551724139
EPack Prefab Techn...,EPACKPEB,2025-10-01,204,186.1,504.0,5.1,3.68,1.69,3.07,-8.774509803921571
BMW Ventures Ltd,BMWVENTLTD,2025-10-01,99,80.0,231.66,3.09,3.03,0.99,1.5,-19.19191919191919
Anand Rathi Share ...,ARSSBL,2025-09-30,414,432.1,745.0,43.8,28.6,4.78,20.66,4.3719806763285085
Seshaasai Technolo...,STYL,2025-09-30,423,436.0,813.07,189.63,49.89,9.17,68.13,3.0732860520094563
Solarworld Energy ...,SOLARWORLD,2025-09-30,351,389.0,490.0,70.43,64.73,49.15,65.01,10.826210826210826
Jaro Institute of ...,JARO,2025-09-30,890,890.0,450.0,35.35,35.48,8.71,22.06,0.0
Atlanta Electrical...,ATLANTAELE,2025-09-29,754,858.1,687.85,194.92,54.2,10.42,70.63,13.80636604774536
Ganesh Consumer Pr...,GANESHCP,2025-09-29,322,295.0,408.8,4.18,4.34,1.15,2.67,-8.385093167701864
GK Energy Ltd,GKENERGY,2025-09-26,153,165.0,464.26,186.29,122.73,20.79,89.62,7.8431372549019605
Saatvik Green Ener...,SAATVIKGL,2025-09-26,465,460.0,900.0,10.84,10.04,2.66,6.57,-1.0752688172043012
Ivalue Infosolutio...,IVALUE,2025-09-25,299,285.0,560.29,3.18,1.26,1.28,1.82,-4.682274247491638
VMS TMT Ltd,VMSTMT,2025-09-24,99,105.0,148.5,120.8,227.09,47.88,102.26,6.0606060606060606
Euro Pratik Sales ...,EUROPRATIK,2025-09-23,247,273.45,451.31,1.05,1.92,1.23,1.34,10.708502024291493
Dev Accelerator Lt...,DEVX,2025-09-17,61,61.3,143.35,20.3,87.97,164.72,63.97,0.49180327868852
Shringar House of ...,SHRINGARMS,2025-09-17,165,187.7,400.95,101.41,82.58,27.22,60.29,13.757575757575752
Urban Company Ltd,URBANCO,2025-09-17,103,161.0,1900.0,140.2,74.04,39.25,103.63,56.310679611650485
Amanta Healthcare ...,AMANTA,2025-09-09,126,134.0,126.0,35.86,209.42,54.98,82.61,6.349206349206349
Anlon Healthcare L...,AHCL,2025-09-03,91,91.0,121.03,1.07,10.61,47.29,7.12,0.0
Vikran Engineering...,VIKRAN,2025-09-03,97,99.7,772.0,19.45,58.58,10.97,23.59,2.7835051546391782
Mangal Electrical ...,MEIL,2025-08-28,561,558.0,400.0,10.54,18.79,4.84,9.46,-0.53475935828877
Gem Aromatics Ltd,GEMAROMA,2025-08-26,325,325.0,451.25,55.28,45.06,10.31,30.27,0.0
Shreeji Shipping G...,SHREEJISPG,2025-08-26,252,271.85,410.71,110.41,72.7,21.94,58.1,7.876984126984136
Patel Retail Ltd,PATELRMART,2025-08-26,255,305.0,242.76,272.43,108.18,42.49,95.7,19.607843137254903
Vikram Solar Ltd,VIKRAMSOLR,2025-08-26,332,340.0,2079.37,142.79,50.9,7.65,54.63,2.4096385542168677
Regaal Resources L...,REGAAL,2025-08-20,102,141.8,306.0,190.97,356.73,57.75,159.88,39.019607843137265
Bluestone Jeweller...,BLUESTONE,2025-08-19,517,508.8,1540.65,4.28,0.55,1.35,2.7,-1.5860735009671156
JSW Cement Ltd,JSWCEMENT,2025-08-14,147,153.0,3600.0,15.8,10.97,1.81,7.77,4.081632653061225
All Time Plastics ...,ALLTIME,2025-08-14,275,314.3,400.6,10.15,13.47,5.14,8.34,14.290909090909096
Highway Infrastruc...,HILINFRA,2025-08-12,70,117.0,130.0,420.57,447.32,155.58,300.61,67.14285714285714
M & B Engineering Ltd,MBEL,2025-08-06,385,386.0,650.0,36.72,38.24,32.55,36.2,0.2597402597402597
Sri Lotus Developers & Realty Ltd,LOTUSDEV,2025-08-06,150,179.1,792.0,163.9,57.71,20.28,69.14,19.399999999999995
Aditya Infotech Ltd,CPPLUS,2025-08-05,675,1018.0,1300.0,133.21,72.0,50.87,100.69,50.81481481481481
Laxmi India Finance Ltd,LAXMIINDIA,2025-08-05,158,136.0,254.26,1.3,1.84,2.22,1.87,-13.924050632911392
Shanti Gold International Ltd,SHANTIGOLD,2025-08-01,199,229.1,360.11,117.33,151.48,30.37,81.17,15.125628140703515
Brigade Hotel Ventures Limited,BRIGHOTEL,2025-07-31,90,82.0,759.6,5.42,1.92,6.4,4.48,-8.88888888888889
GNG Electronics Limited,EBGNG,2025-07-30,237,350.0,460.44,266.21,227.67,46.84,147.93,47.67932489451477
Indiqube Spaces Limited,INDIQUBE,2025-07-30,237,218.7,700.0,14.35,8.27,12.9,12.41,-7.721518987341777
Anthem Biosciences Limited,ANTHEM,2025-07-21,570,723.1,3395.0,182.65,42.36,5.64,63.86,26.85964912280702
Smartworks Coworking Limited,SMARTWORKS,2025-07-17,407,436.1,582.56,24.41,22.78,3.53,13.45,7.149877149877155
Travel Food Services Limited,TRAVELFOOD,2025-07-14,1100,1126.2,2000.0,7.7,1.58,0.69,2.88,2.381818181818186
Crizac Limited,CRIZAC,2025-07-09,245,280.0,860.0,134.35,76.15,10.24,59.82,14.285714285714285
Indogulf Cropsciences Limited,IGCL,2025-07-03,111,111.0,200.0,33.26,48.39,14.78,25.98,0.0
HDB Financial Services Limited,HDBFS,2025-07-02,740,835.0,12500.0,55.47,9.99,1.41,16.69,12.837837837837837
Sambhv Steel Tubes Limited,SAMBHV,2025-07-02,82,110.1,540.0,62.32,31.82,7.99,28.46,34.26829268292682
Globe Civil Projects Limited,GLOBECIVIL,2025-07-01,71,91.1,119.0,99.76,143.15,53.72,86.04,28.30985915492957
Kalpataru Limited,KALPATARU,2025-07-01,414,414.1,1590.0,3.12,1.31,1.29,2.26,0.024154589371986168
Ellenbarrie Industrial Gases Limited,ELLEN,2025-07-01,400,492.0,852.53,64.23,15.21,2.14,22.19,23.0
Arisinfra Solutions Limited,ARIS,2025-06-25,222,209.1,499.6,1.42,3.14,5.59,2.65,-5.810810810810813
Oswal Pumps Limited,OSWALPUMPS,2025-06-20,614,632.0,1387.34,88.08,36.7,3.6,34.42,2.9315960912052117
Scoda Tubes Limited,SCODATUBES,2025-06-04,140,140.0,220.0,69.51,113.03,19.4,53.78,0.0
Prostarm Info Systems Limited,PROSTARM,2025-06-03,105,125.0,168.0,104.49,222.14,39.49,97.2,19.047619047619047
Aegis Vopak Terminals Limited,AEGISVOPAK,2025-06-02,235,220.0,2800.0,3.3,0.56,0.77,2.09,-6.382978723404255
Schloss Bangalore Limited,THELEELA,2025-06-02,435,406.5,3500.0,7.46,1.02,0.83,4.5,-6.551724137931035
Belrise Industries Limited,BELRISE,2025-05-28,90,98.5,2150.0,108.35,38.33,4.27,41.3,9.444444444444445
Borana Weaves Limited,BORANA,2025-05-27,216,243.0,144.89,87.21,237.42,200.53,148.78,12.5
Ather Energy Limited,ATHERENERG,2025-05-06,321,326.05,2980.8,1.7,0.66,1.78,1.43,1.5732087227414366
Quality Power Electronics Limited,QPOWER,2025-02-24,425,432.05,858.7,1.03,1.45,1.83,1.29,1.6588235294117675
Hexaware Technologies Limited,HEXT,2025-02-19,708,731.0,8750.0,9.09,0.2,0.11,2.66,3.248587570621469
Ajax Engineering Limited,AJAXENGG,2025-02-17,629,593.0,1268.88,14.41,6.46,1.92,6.44,-5.723370429252783
Dr Agarwal's Healthcare Limited,AGARWALEYE,2025-02-04,402,396.9,3027.26,4.64,0.4,0.41,1.55,-1.268656716417916
Denta Water & Infrastructure Limited,DENTA,2025-01-29,294,330.0,220.5,236.94,507.27,90.56,221.68,12.244897959183673
Stallion India Fluorochem Limited,STALLION,2025-01-23,90,120.0,199.45,172.93,422.42,96.89,188.37,33.33333333333333
Laxmi Dental Limited,LAXMIDENTL,2025-01-20,428,528.0,698.06,110.38,147.95,76.24,114.42,23.364485981308412
Capital Infra Trust,CAPTRUST,2025-01-17,99,99.0,1578.0,0.58,4.24,0.0,2.23,0.0
Quadrant Future Tek Limited,QUADFUTURE,2025-01-14,290,374.0,290.0,132.54,254.71,246.94,186.66,28.965517241379313
Standard Glass Lining Technology Limited,SETL,2025-01-13,140,176.0,410.05,331.6,268.5,64.99,183.18,25.71428571428571
Indo Farm Equipment Limited,INDOFARM,2025-01-07,215,258.4,260.15,242.4,503.83,104.92,229.68,20.186046511627897
Unimech Aerospace and Manufacturing Limited,UNIMECH,2024-12-31,785,1491.0,500.0,317.63,263.78,56.74,175.31,89.93630573248407
Ventive Hospitality Limited,VENTIVE,2024-12-30,643,718.15,1600.0,9.08,13.85,5.87,9.8,11.687402799377912
Carraro India Limited,CARRARO,2024-12-30,704,660.0,1250.0,2.21,0.6,0.71,1.12,-6.25
Senores Pharmaceuticals Limited,SENORES,2024-12-30,391,593.7,582.11,94.66,96.11,89.23,93.41,51.841432225063954
Transrail Lighting Limited,TRANSRAILL,2024-12-27,432,585.15,838.91,201.06,76.41,22.07,80.8,35.451388888888886
Dam Capital Advisors Limited,DAMCAPITAL,2024-12-27,283,392.9,840.25,166.33,98.62,27.13,82.08,38.83392226148409
Mamata Machinery Limited,MAMATA,2024-12-27,243,600.0,179.35,235.88,274.38,138.08,194.95,146.9135802469136
Sanathan Textiles Limited,SANATHAN,2024-12-27,321,419.1,550.0,75.62,42.21,8.93,35.12,30.560747663551407
Concord Enviro Systems Limited,CEWATER,2024-12-27,701,832.0,500.33,17.32,14.2,5.56,10.67,18.687589158345222
International Gemmological Institute (India) Limited,IGIL,2024-12-20,417,504.85,4225.0,45.8,24.84,11.21,33.78,21.067146282973624
Inventurus Knowledge Solutions Limited,IKS,2024-12-19,1329,1856.0,2497.92,80.64,23.25,14.55,52.68,39.65387509405568
Vishal Mega Mart Limited,VMM,2024-12-18,78,110.0,8000.0,80.75,14.25,2.31,27.28,41.02564102564102
One Mobikwik Systems Limited,MOBIKWIK,2024-12-18,279,442.25,572.0,119.5,108.95,134.67,119.38,58.51254480286738
Sai Life Sciences Limited,SAILIFE,2024-12-18,549,660.0,3042.62,30.93,4.92,1.37,10.26,20.21857923497268
